dish_name,count
"Rántott camambert, kukoricás rizs",7
Palóc leves,7
"Leves + Egészben sült csülök, hagyma karika, steak burgonya",7
Leves + C19 hamburger sültburgonya,7
"Vadas sertés szelet, csőtészta",7
"Leves + BBQ sült oldalas, steak burgonya, csalamádé",7
"Leves + Tejszínes - gombás gnocchi, parmezán sajttal, kérgezett szűzérmével",7
"Leves + Avokádós - paradicsomos csirkesaláta, pirítóssal",7
"Leves + Pacal pörkölt sósburgonya, gyümölcsös pudingos palacsinta",7
Brokkoli leves,7
Gombapaprikás galuskával,7
Borscs leves,7
"A mai menekülő menü 2200ft: Rántott szelet, sajt, gomba körettel+leves",7
"Fokhagymás sertéssült, törtburgonya, párolt káposzta",7
"Leves + Töltött ágyú, burgonya krokett, paradicsom saláta",7
"Rántott sertésszelet, rizibizi, saláta",7
Leves + Pankó morzsás sertés tarja füstölt sajtmártással és csónakburgonyával,7
Hortobágyi sertésragu szarvacska,7
"Rakott burgonya, füstölt kolbásszal",7
Mátrai borzaska rizibizi,7
Borsmártásos sertéskaraj burgonyapüré,7
Tökfőzelék fasírttal,7
Sólet töltött libanyakkal,7
Mákos vagy diós tészta,7
Leves + Lazac szelet fűszeres mártással,7
burgonya gratinnal és őszi zöldség salátával,7
"Sertéskaraj ""Jóasszony"" módra rizzsel",7
"Tejszínes, gombás csirkemell tésztával",7
Gyümölcsleves túrógombóccal,7
"Szezámmagos rántott jérce, kukoricás rizs",7
"Leves + Erdei gombás marharagu, fokhagymás burgonyalángossal",7
Cigánypecsenye steakburgonyával,7
"Leves + Lecsós szűzérmék, kolbász morzsa, steak burgonya",7
Halászlé,7
"Leves + Fetás csirkemell, krokett, paradicsom saláta",7
"Gombapaprikás, galuska",7
"Lencsefőzelék, sertéspörkölt",7
"Zöldfűszeres pankó morzsás rántott szelet, rizs",7
"Leves + Zöldkérges sertésszűz, sült hagyma steak burgonya, céklakrém",7
"Leves + Sült kacsacomb, orly alma, burgonyapüré",7
"Leves + Aszalt szilvás csirkemell baconbe csavarva, krokett, pikáns meggyzselé",7
Tarhonya leves,7
"Csőben sült brokkoli, vasalt csirkecombbal",7
"Rántott sajt, rizibizi, tartár",7
Borsmártásos karaj burgonyapürével,7
"Leves + Roston süllő, házi sült burgonya, céklapüré",7
"Leves + Süllő roston, zöldség ágyon, vajas burgonyával",7
Menekülő menü: Húsleves Rántott sajt/Rántott szelet hasábburgonyával 2100 Ft + 100 Ft csom.,7
"Mai menü: Hurka-kolbász, friss kenyérrel, savanyúsággal 1890.-",7
Leves + tonhal steak pestós tagliatelle,7
"Leves + Bécsi szelet, rusztikus sültburgonyával",7
Szerb rizseshús,7
"Leves + Mézpácos csirkemell karamellizált almával, burgonya krokettel",7
Töltött paprika főttburgonya,7
Szemes bableves csülökkel,7
"Leves + Fetasajtos csirkemell, krokett, rizs",7
"Leves + Fetás csirkemell, krokett, rizs",7
"Tarhonyás hús, csemege uborka",7
Leves + Tejszínes - garnélás spagetti,7
Brokkoli krémleves - Csontleves cérnametélttel,7
Leves + Pappfia - maffia karaj fokhagymás steak burgonyával,7
"Debreceni szelet, kagylótésztával",7
Hortobágyi palacsinta,7
Édes - savanyú csirkemell bulgurral,7
Leves + Lecsós szűzérmék burgonya és kolbászmorzsa,7
Cornflakes- es rántott szelet kukoricás rizs,7
"Rántott jérce, rizibizi",7
Burgonyafőzelék fasírozottal,7
Olasz zöldségleves - Gyümölcsleves,7
"Kijevi csirkemell, burgonyapüré",7
